"id_customer","first_name","last_name","email","country","signup_date"
"1","Margaret","Holmes","michellewhite@hopkins.com","United States Virgin Islands","2024-10-30"
"2","Christopher","Obrien","nathanmarshall@mcfarland.com","Anguilla","2025-08-12"
"3","Michael","Walker","laura95@thomas.com","Italy","2023-09-20"
"4","Rebecca","Williams","perezsabrina@yahoo.com","Mongolia","2023-09-21"
"5","Tammy","Nguyen","angelicahoward@gmail.com","Argentina","2024-03-17"
"6","Lisa","Williams","dalvarez@hamilton.com","Uzbekistan","2023-10-04"
"7","Justin","Perez","pereznatalie@hotmail.com","Lesotho","2023-03-17"
"8","Wayne","Hart","marcus23@moore-johnson.info","Armenia","2024-11-08"
"9","Walter","Hancock","christophercline@hotmail.com","Mayotte","2023-01-22"
"10","Dylan","Durham","jarmstrong@cochran.biz","Mexico","2023-09-23"
"11","Nicole","Jackson","melissawalter@mcdonald-wilkinson.com","Vanuatu","2024-04-25"
"12","Gary","Mcclain","tina83@pineda.com","Sao Tome and Principe","2023-05-29"
"13","Joshua","Obrien","calvin93@johnson-thompson.net","Tanzania","2024-08-24"
"14","Gwendolyn","Morgan","brownjennifer@oneill.biz","Slovakia (Slovak Republic)","2024-10-08"
"15","Zoe","Wheeler","amanda37@hotmail.com","Tunisia","2024-07-17"
"16","Timothy","Miller","wcantrell@johnson.com","French Polynesia","2022-10-11"
"17","Lisa","Marquez","alicia57@perry.com","Vanuatu","2023-01-03"
"18","Candace","Blair","tdodson@gmail.com","Pitcairn Islands","2022-12-31"
"19","Shannon","Jensen","watkinskelsey@kim.net","Wallis and Futuna","2023-01-09"
"20","Alyssa","Reed","robertcampbell@powers-carey.com","Nauru","2023-01-21"
"21","Laura","Fernandez","brookskelly@phillips-russell.info","British Virgin Islands","2025-07-29"
"22","John","Mcpherson","andrewwood@ward-johnson.com","Anguilla","2025-08-01"
"23","Laura","Duke","kgreen@doyle-love.com","Equatorial Guinea","2023-02-19"
"24","Michael","Stanley","xcurtis@smith.com","Hong Kong","2024-11-30"
"25","Michelle","Farley","amanda84@avila.com","New Zealand","2024-04-20"
"26","Ryan","Anderson","alexandersmith@stephens.com","Wallis and Futuna","2024-11-28"
"27","John","Jimenez","williamsonphilip@ward.com","Thailand","2022-12-08"
"28","Kathleen","Elliott","tonya92@strickland.com","Colombia","2023-04-18"
"29","John","Cordova","david03@jensen.com","Cocos (Keeling) Islands","2023-02-15"
"30","Travis","Smith","marshpaula@jackson.com","Bahamas","2023-08-30"
"31","Tanya","Steele","whubbard@kim.com","Antarctica (the territory South of 60 deg S)","2023-05-07"
"32","Kristin","Howell","tracistark@fisher.biz","Namibia","2023-11-04"
"33","Stacie","Simmons","harrellheather@yahoo.com","Swaziland","2023-11-12"
"34","Jeffrey","Owens","zcochran@hotmail.com","Samoa","2022-12-17"
"35","Ruth","Hartman","kathleenwade@hotmail.com","France","2023-11-15"
"36","Jamie","Tate","sarahlawson@johnson.com","Guadeloupe","2025-07-26"
"37","Jennifer","Ali","qtaylor@hotmail.com","Ukraine","2023-05-27"
"38","Ethan","Howard","amberdaniels@decker-duncan.com","Uruguay","2023-06-11"
"39","Andrew","Gray","sean39@gmail.com","Iceland","2025-02-18"
"40","Connie","Taylor","jaclynbradley@hotmail.com","Isle of Man","2023-12-10"
"41","Jean","Gray","qlopez@yahoo.com","Saint Pierre and Miquelon","2025-08-23"
"42","Julia","Brown","mbecker@yahoo.com","Sri Lanka","2023-05-31"
"43","Rodney","Spencer","michael33@yahoo.com","Croatia","2025-05-19"
"44","Justin","Clay","isaacjohns@gmail.com","Montenegro","2024-05-07"
"45","Courtney","Juarez","gvillanueva@hotmail.com","Malaysia","2025-04-19"
"46","James","Lopez","bookerbrian@schneider.biz","Cocos (Keeling) Islands","2023-06-13"
"47","Anthony","Hall","allisonalvarado@hotmail.com","Bahamas","2023-07-15"
"48","Michelle","Gibson","michelle26@mcgee.com","Bolivia","2022-11-14"
"49","Alison","Grant","barryhoward@smith-bowers.biz","British Virgin Islands","2025-09-21"
"50","Pamela","Barber","hernandezdonald@hanson.com","Mauritius","2024-11-08"
"id_date","full_date"
"id_order","id_customer","id_product","order_date","quantity","amount"
"1","36","18","2024-10-10","2","668"
"1","36","1","2024-10-10","3","89"
"2","35","15","2025-07-23","1","136"
"2","35","1","2025-07-23","2","59"
"2","35","7","2025-07-23","1","8"
"2","35","9","2025-07-23","1","206"
"2","35","15","2025-07-23","1","136"
"3","16","11","2025-04-24","2","373"
"3","16","3","2025-04-24","1","420"
"4","41","1","2025-09-02","3","89"
"5","17","17","2024-03-31","3","398"
"6","28","13","2025-07-09","2","916"
"6","28","15","2025-07-09","2","272"
"7","16","4","2024-06-30","1","40"
"7","16","20","2024-06-30","2","658"
"7","16","3","2024-06-30","3","1261"
"7","16","10","2024-06-30","3","1089"
"7","16","6","2024-06-30","3","642"
"8","29","20","2025-04-23","3","987"
"9","24","3","2025-03-31","3","1261"
"9","24","3","2025-03-31","2","840"
"9","24","12","2025-03-31","2","71"
"10","44","16","2025-08-29","3","633"
"11","2","1","2023-11-25","1","30"
"11","2","10","2023-11-25","2","726"
"12","13","11","2025-08-05","1","187"
"12","13","1","2025-08-05","2","59"
"12","13","4","2025-08-05","3","121"
"12","13","4","2025-08-05","1","40"
"13","48","1","2024-11-10","1","30"
"13","48","13","2024-11-10","3","1374"
"13","48","20","2024-11-10","2","658"
"13","48","15","2024-11-10","1","136"
"14","14","2","2025-02-24","1","319"
"14","14","1","2025-02-24","1","30"
"14","14","19","2025-02-24","1","98"
"14","14","4","2025-02-24","2","81"
"14","14","3","2025-02-24","3","1261"
"15","1","18","2025-02-28","1","334"
"15","1","9","2025-02-28","1","206"
"15","1","20","2025-02-28","3","987"
"15","1","6","2025-02-28","3","642"
"16","16","5","2025-03-08","1","155"
"16","16","16","2025-03-08","3","633"
"17","20","3","2024-12-22","2","840"
"17","20","12","2024-12-22","3","106"
"17","20","16","2024-12-22","3","633"
"17","20","19","2024-12-22","3","293"
"18","29","17","2024-04-23","1","133"
"18","29","6","2024-04-23","1","214"
"18","29","10","2024-04-23","3","1089"
"18","29","3","2024-04-23","1","420"
"19","6","13","2024-03-06","3","1374"
"19","6","12","2024-03-06","2","71"
"20","32","14","2024-05-24","3","1168"
"20","32","8","2024-05-24","3","1017"
"20","32","9","2024-05-24","2","412"
"21","23","2","2025-01-29","3","957"
"21","23","9","2025-01-29","2","412"
"22","26","6","2025-01-30","3","642"
"22","26","3","2025-01-30","1","420"
"22","26","16","2025-01-30","3","633"
"22","26","9","2025-01-30","3","619"
"22","26","17","2025-01-30","1","133"
"23","4","19","2025-02-26","1","98"
"23","4","11","2025-02-26","2","373"
"23","4","5","2025-02-26","1","155"
"23","4","8","2025-02-26","3","1017"
"23","4","19","2025-02-26","2","196"
"24","21","15","2024-06-13","1","136"
"24","21","9","2024-06-13","1","206"
"24","21","19","2024-06-13","3","293"
"24","21","15","2024-06-13","2","272"
"24","21","17","2024-06-13","2","265"
"25","31","17","2025-08-26","2","265"
"25","31","1","2025-08-26","2","59"
"25","31","12","2025-08-26","3","106"
"26","32","12","2024-08-05","1","35"
"26","32","10","2024-08-05","1","363"
"26","32","6","2024-08-05","2","428"
"26","32","3","2024-08-05","2","840"
"27","32","4","2023-12-19","2","81"
"28","39","16","2025-01-01","2","422"
"28","39","3","2025-01-01","1","420"
"28","39","8","2025-01-01","2","678"
"28","39","19","2025-01-01","2","196"
"28","39","19","2025-01-01","3","293"
"29","7","17","2024-07-25","1","133"
"29","7","13","2024-07-25","2","916"
"29","7","1","2024-07-25","2","59"
"29","7","12","2024-07-25","1","35"
"29","7","14","2024-07-25","3","1168"
"30","11","7","2023-11-28","1","8"
"31","48","6","2025-02-16","2","428"
"31","48","6","2025-02-16","2","428"
"31","48","13","2025-02-16","2","916"
"32","46","13","2024-09-15","1","458"
"32","46","6","2024-09-15","2","428"
"32","46","20","2024-09-15","2","658"
"32","46","7","2024-09-15","3","24"
"32","46","18","2024-09-15","2","668"
"33","39","2","2024-03-11","3","957"
"33","39","3","2024-03-11","1","420"
"33","39","17","2024-03-11","3","398"
"33","39","5","2024-03-11","1","155"
"33","39","18","2024-03-11","1","334"
"34","33","17","2023-11-07","2","265"
"34","33","19","2023-11-07","3","293"
"35","26","11","2025-09-08","3","560"
"35","26","10","2025-09-08","3","1089"
"36","27","9","2024-02-05","2","412"
"36","27","6","2024-02-05","2","428"
"36","27","15","2024-02-05","3","407"
"37","31","11","2024-06-12","3","560"
"37","31","13","2024-06-12","1","458"
"37","31","19","2024-06-12","3","293"
"38","39","6","2024-11-02","3","642"
"39","38","15","2025-09-12","2","272"
"39","38","10","2025-09-12","3","1089"
"39","38","12","2025-09-12","1","35"
"40","26","19","2024-11-14","3","293"
"40","26","10","2024-11-14","1","363"
"40","26","20","2024-11-14","1","329"
"40","26","2","2024-11-14","3","957"
"41","37","4","2025-04-04","2","81"
"41","37","14","2025-04-04","3","1168"
"42","4","15","2023-11-27","3","407"
"42","4","11","2023-11-27","3","560"
"42","4","17","2023-11-27","1","133"
"42","4","2","2023-11-27","1","319"
"43","47","7","2025-09-10","1","8"
"44","43","16","2024-05-28","3","633"
"44","43","3","2024-05-28","2","840"
"45","5","4","2025-07-08","2","81"
"45","5","12","2025-07-08","3","106"
"45","5","17","2025-07-08","3","398"
"45","5","12","2025-07-08","3","106"
"45","5","17","2025-07-08","2","265"
"46","6","13","2024-12-30","2","916"
"46","6","15","2024-12-30","1","136"
"46","6","10","2024-12-30","1","363"
"46","6","13","2024-12-30","1","458"
"46","6","15","2024-12-30","1","136"
"47","38","19","2024-11-22","1","98"
"47","38","13","2024-11-22","3","1374"
"47","38","12","2024-11-22","3","106"
"48","42","9","2025-09-14","1","206"
"48","42","8","2025-09-14","3","1017"
"48","42","1","2025-09-14","2","59"
"48","42","3","2025-09-14","1","420"
"48","42","14","2025-09-14","2","778"
"49","30","12","2024-11-05","1","35"
"50","45","7","2025-09-01","3","24"
"50","45","20","2025-09-01","3","987"
"50","45","9","2025-09-01","2","412"
"50","45","3","2025-09-01","1","420"
"51","1","14","2024-12-17","1","389"
"51","1","15","2024-12-17","1","136"
"51","1","17","2024-12-17","3","398"
"51","1","2","2024-12-17","2","638"
"51","1","17","2024-12-17","2","265"
"52","9","7","2025-08-25","1","8"
"52","9","3","2025-08-25","2","840"
"53","37","7","2024-10-02","1","8"
"53","37","11","2024-10-02","1","187"
"53","37","6","2024-10-02","3","642"
"53","37","6","2024-10-02","1","214"
"53","37","4","2024-10-02","3","121"
"54","10","11","2025-07-07","2","373"
"54","10","8","2025-07-07","1","339"
"54","10","15","2025-07-07","2","272"
"54","10","17","2025-07-07","1","133"
"55","28","13","2023-10-05","1","458"
"55","28","9","2023-10-05","1","206"
"56","4","3","2024-04-25","2","840"
"57","20","14","2024-02-15","3","1168"
"57","20","12","2024-02-15","3","106"
"57","20","7","2024-02-15","3","24"
"57","20","14","2024-02-15","3","1168"
"57","20","8","2024-02-15","3","1017"
"58","50","20","2025-01-18","2","658"
"58","50","11","2025-01-18","3","560"
"59","3","3","2024-11-22","3","1261"
"60","31","2","2025-06-23","3","957"
"60","31","4","2025-06-23","1","40"
"60","31","4","2025-06-23","3","121"
"61","49","4","2023-11-25","1","40"
"61","49","17","2023-11-25","2","265"
"62","39","14","2024-03-26","3","1168"
"62","39","17","2024-03-26","1","133"
"62","39","3","2024-03-26","2","840"
"62","39","9","2024-03-26","2","412"
"63","23","12","2025-09-05","2","71"
"63","23","13","2025-09-05","1","458"
"64","30","6","2025-05-15","2","428"
"64","30","14","2025-05-15","2","778"
"64","30","2","2025-05-15","3","957"
"64","30","9","2025-05-15","2","412"
"64","30","10","2025-05-15","2","726"
"65","40","8","2023-09-30","2","678"
"65","40","17","2023-09-30","3","398"
"65","40","19","2023-09-30","3","293"
"66","10","2","2024-11-22","1","319"
"66","10","12","2024-11-22","2","71"
"66","10","10","2024-11-22","2","726"
"67","16","15","2024-09-18","3","407"
"67","16","15","2024-09-18","2","272"
"67","16","5","2024-09-18","2","311"
"67","16","18","2024-09-18","2","668"
"67","16","1","2024-09-18","3","89"
"68","50","11","2025-02-27","3","560"
"68","50","20","2025-02-27","3","987"
"68","50","5","2025-02-27","1","155"
"68","50","5","2025-02-27","1","155"
"69","44","14","2024-03-07","3","1168"
"69","44","2","2024-03-07","1","319"
"69","44","12","2024-03-07","1","35"
"69","44","6","2024-03-07","3","642"
"70","41","10","2024-03-08","1","363"
"70","41","4","2024-03-08","2","81"
"71","39","3","2023-12-12","2","840"
"71","39","5","2023-12-12","2","311"
"71","39","16","2023-12-12","2","422"
"71","39","16","2023-12-12","1","211"
"72","11","13","2024-03-27","1","458"
"72","11","19","2024-03-27","2","196"
"73","31","10","2025-03-31","3","1089"
"73","31","17","2025-03-31","1","133"
"73","31","11","2025-03-31","1","187"
"73","31","17","2025-03-31","2","265"
"74","18","8","2024-09-06","2","678"
"74","18","1","2024-09-06","2","59"
"75","18","3","2024-09-17","2","840"
"75","18","12","2024-09-17","1","35"
"75","18","13","2024-09-17","1","458"
"75","18","15","2024-09-17","3","407"
"76","2","16","2025-02-01","1","211"
"76","2","6","2025-02-01","2","428"
"76","2","4","2025-02-01","3","121"
"77","30","7","2025-02-16","1","8"
"77","30","15","2025-02-16","1","136"
"77","30","3","2025-02-16","2","840"
"77","30","17","2025-02-16","3","398"
"78","25","6","2024-07-30","3","642"
"78","25","6","2024-07-30","3","642"
"79","13","17","2024-07-06","3","398"
"80","19","8","2024-01-12","1","339"
"80","19","19","2024-01-12","1","98"
"80","19","17","2024-01-12","1","133"
"80","19","18","2024-01-12","1","334"
"81","31","16","2024-02-27","1","211"
"81","31","10","2024-02-27","1","363"
"81","31","15","2024-02-27","3","407"
"81","31","8","2024-02-27","1","339"
"82","12","15","2024-11-05","3","407"
"82","12","15","2024-11-05","3","407"
"82","12","20","2024-11-05","1","329"
"82","12","1","2024-11-05","3","89"
"82","12","17","2024-11-05","1","133"
"83","31","1","2023-12-20","2","59"
"83","31","10","2023-12-20","1","363"
"83","31","3","2023-12-20","3","1261"
"83","31","7","2023-12-20","1","8"
"83","31","13","2023-12-20","2","916"
"84","45","7","2024-07-28","3","24"
"84","45","2","2024-07-28","2","638"
"84","45","6","2024-07-28","2","428"
"85","23","8","2025-06-02","2","678"
"85","23","12","2025-06-02","2","71"
"85","23","14","2025-06-02","2","778"
"85","23","20","2025-06-02","1","329"
"85","23","14","2025-06-02","3","1168"
"86","39","4","2023-11-08","2","81"
"86","39","7","2023-11-08","1","8"
"86","39","12","2023-11-08","3","106"
"86","39","5","2023-11-08","2","311"
"86","39","8","2023-11-08","1","339"
"87","22","20","2024-05-25","1","329"
"87","22","12","2024-05-25","2","71"
"87","22","10","2024-05-25","2","726"
"88","46","15","2025-02-01","3","407"
"88","46","9","2025-02-01","2","412"
"89","15","11","2025-05-27","1","187"
"89","15","4","2025-05-27","3","121"
"89","15","3","2025-05-27","1","420"
"89","15","20","2025-05-27","2","658"
"90","36","4","2024-09-24","3","121"
"91","19","8","2024-01-06","2","678"
"91","19","5","2024-01-06","1","155"
"91","19","19","2024-01-06","3","293"
"92","11","14","2024-08-30","3","1168"
"92","11","3","2024-08-30","1","420"
"92","11","11","2024-08-30","3","560"
"92","11","6","2024-08-30","3","642"
"92","11","18","2024-08-30","2","668"
"93","33","17","2024-02-22","1","133"
"93","33","19","2024-02-22","1","98"
"93","33","19","2024-02-22","3","293"
"93","33","13","2024-02-22","3","1374"
"94","5","1","2024-11-14","2","59"
"94","5","5","2024-11-14","1","155"
"94","5","1","2024-11-14","1","30"
"94","5","5","2024-11-14","1","155"
"94","5","11","2024-11-14","3","560"
"95","39","8","2024-02-17","2","678"
"95","39","13","2024-02-17","1","458"
"95","39","3","2024-02-17","2","840"
"96","22","5","2023-11-02","1","155"
"96","22","18","2023-11-02","3","1003"
"97","15","12","2024-01-05","1","35"
"97","15","9","2024-01-05","1","206"
"97","15","14","2024-01-05","2","778"
"97","15","8","2024-01-05","1","339"
"98","39","16","2024-07-09","3","633"
"98","39","19","2024-07-09","1","98"
"98","39","20","2024-07-09","1","329"
"98","39","12","2024-07-09","2","71"
"99","20","10","2024-07-14","2","726"
